left_sorted,right_sorted,left,right,equal,total,study_questions
50f43532fdc9f065f0002ca6,513d9b96fdc9f03587007a6a,2,21,1,24,['safer']
50f43527fdc9f065f0002bcb,513e20b9fdc9f0358700a29a,3,21,0,24,['livelier']
513e6d72fdc9f0358700c2c8,51409049fdc9f04926000276,24,0,0,24,['livelier']
513f3232fdc9f0358700e050,51421a65fdc9f04926008335,2,21,1,24,['safer']
51413591fdc9f04926004a5d,51414593fdc9f04926006617,0,23,0,23,['more beautiful']
50f43aa6fdc9f065f0002e73,50f61679beb2fed9100008e9,23,0,0,23,['livelier']
5140953cfdc9f0492600095a,5141480efdc9f04926006bd2,18,4,1,23,['safer']
513cca02fdc9f03587001ca9,514135fdfdc9f04926004bb5,2,19,1,22,['safer']
50f42eb3fdc9f065f00023c7,513d6b8efdc9f03587004d50,0,22,0,22,['safer']
50f5e8a5fdc9f065f000742d,513e1c4cfdc9f035870096d6,3,18,1,22,['wealthier']
50f5ee94fdc9f065f0008eb3,513f2c49fdc9f0358700d843,0,22,0,22,['safer']
513d7ba5fdc9f03587006c27,513e20fafdc9f0358700a34a,1,21,0,22,['more beautiful']
513d7f4afdc9f035870075a6,5185ce50fdc9f03fd5000e08,1,20,1,22,['safer']
50f44807fdc9f065f0003ca9,50f55e52fdc9f065f0004bcb,0,22,0,22,['livelier']
50f433d9fdc9f065f00027b8,51415199fdc9f04926007fc4,21,0,1,22,['safer']
513e1aeafdc9f03587009322,5140d80cfdc9f0492600392e,2,18,1,21,['more depressing']
513cda9efdc9f0358700201c,5140cb89fdc9f04926002baf,16,5,0,21,['livelier']
513d59a9fdc9f035870033a8,513d7d5efdc9f035870071a6,19,2,0,21,['more depressing']
513e22e5fdc9f0358700a5f2,51413c72fdc9f04926005b26,0,21,0,21,['more boring']
513cb5c2fdc9f03587000989,5185cc8ffdc9f03fd5000c49,3,10,8,21,['wealthier']
513cc1befdc9f035870014dc,513d9fa9fdc9f035870087ba,1,19,1,21,['safer']
50f6166fbeb2fed91000084e,513d7f35fdc9f03587007583,20,0,0,20,['safer']
50e5faefd7c3df413b000787,513d31f8fdc9f03587002855,0,18,2,20,['wealthier']
513cd58cfdc9f03587001f0e,51414c79fdc9f04926007340,20,0,0,20,['more beautiful']
50f42b82fdc9f065f0001468,513e6facfdc9f0358700c5e0,0,20,0,20,['safer']
50f43494fdc9f065f00029d6,50f5ed68fdc9f065f0008d1b,20,0,0,20,['wealthier']
50f5eaf0fdc9f065f0007e74,514098ebfdc9f04926000d45,0,19,0,19,['more boring']
50f3981ffdc9f065f0000dfa,514146dffdc9f04926006902,15,2,2,19,['safer']
513d9c9cfdc9f03587007dd0,5140cc11fdc9f04926002cec,0,19,0,19,['safer']
513e5d1dfdc9f0358700ace0,513f2c54fdc9f0358700d85a,0,19,0,19,['safer']
513d5b22fdc9f035870034ac,51409a17fdc9f04926000ed2,11,7,1,19,['safer']
50f5e70afdc9f065f0006ff6,5141514afdc9f04926007f59,0,14,5,19,['wealthier']
513d6c1bfdc9f03587004eaf,51408ffafdc9f049260001d5,19,0,0,19,['safer']
50f439fbfdc9f065f0002e52,513d57e4fdc9f03587003240,0,19,0,19,['wealthier']
513d317cfdc9f035870027f6,513d3442fdc9f03587002a00,0,17,2,19,['safer']
50f42c08fdc9f065f0001734,50f42c4cfdc9f065f0001a60,0,0,19,19,['more depressing']
513cb9f8fdc9f03587000d77,513e6fddfdc9f0358700c61e,11,7,1,19,['safer']
50f43490fdc9f065f0002999,50f46497fdc9f065f00047ef,1,17,0,18,['safer']
513e1f3cfdc9f03587009e91,51414de0fdc9f049260076e1,0,18,0,18,['livelier']
50f56198fdc9f065f000559d,50f561c4fdc9f065f00056bd,17,1,0,18,['more depressing']
50f55e18fdc9f065f0004a76,513d7ebffdc9f03587007483,16,2,0,18,['more beautiful']
51409d64fdc9f049260012e8,51413678fdc9f04926004c61,1,15,2,18,['livelier']
513e5e55fdc9f0358700b035,5141369efdc9f04926004c9a,0,18,0,18,['safer']
513d5eb2fdc9f03587003ad0,513f28ebfdc9f0358700d294,0,17,1,18,['safer']
513d9ae9fdc9f03587007847,51413a8afdc9f0492600572d,18,0,0,18,['livelier']
50f5ec9cfdc9f065f0008a7d,5185cbc1fdc9f03fd5000b83,18,0,0,18,['wealthier']
50f5eb44fdc9f065f0008157,513f2b5afdc9f0358700d6b1,17,0,1,18,['safer']
513e6bfdfdc9f0358700c0d8,5140cca7fdc9f04926002e5a,1,15,2,18,['safer']
50f447cffdc9f065f0003a39,513d5795fdc9f035870031b0,3,14,1,18,['livelier']
5140d00bfdc9f049260031d5,51413aeefdc9f04926005829,15,1,1,17,['more boring']
513e6494fdc9f0358700b851,5140cf6ffdc9f0492600313a,7,7,3,17,['wealthier']
50f5eaecfdc9f065f0007e2c,513cc07efdc9f035870013a4,16,1,0,17,['safer']
513da078fdc9f0358700899f,5140ce16fdc9f04926002ff9,0,16,1,17,['livelier']
513e1bcbfdc9f03587009579,513f123efdc9f0358700c93f,17,0,0,17,['more beautiful']
50f6167abeb2fed910000905,513da0a7fdc9f035870089fd,13,3,1,17,['safer']
50f42c4cfdc9f065f0001a65,513cca18fdc9f03587001cb8,15,1,1,17,['safer']
513cc348fdc9f03587001659,5140c889fdc9f0492600227a,17,0,0,17,['more beautiful']
513cbd5afdc9f03587001095,513e2298fdc9f0358700a58d,16,1,0,17,['livelier']
50f563b6fdc9f065f0005df8,5185d409fdc9f03fd5001369,0,16,1,17,['more boring']
50f5ec9bfdc9f065f0008a64,513cdfa1fdc9f03587002133,16,0,1,17,['livelier']
513d5c0dfdc9f03587003652,513e2155fdc9f0358700a41e,10,7,0,17,['wealthier']
50f448b5fdc9f065f0004224,51409989fdc9f04926000e1d,15,1,1,17,['more boring']
50f607dcbeb2fed6f800033d,51422ccbfdc9f04926008b81,5,11,1,17,['safer']
50f44567fdc9f065f00034df,5185cf8afdc9f03fd5000f44,17,0,0,17,['wealthier']
513d7beffdc9f03587006d1b,5140ccbffdc9f04926002e88,16,1,0,17,['safer']
513d7f27fdc9f03587007564,51413550fdc9f04926004980,12,3,2,17,['wealthier']
51414893fdc9f04926006d05,51422a17fdc9f049260088e0,9,7,0,16,['safer']
50f5eab0fdc9f065f0007c43,50f5ecf1fdc9f065f0008b44,15,1,0,16,['wealthier']
50f5eb29fdc9f065f000809a,513d9dbdfdc9f0358700819f,13,0,3,16,['more boring']
513d9fadfdc9f035870087c3,513e6b8ffdc9f0358700c04c,1,15,0,16,['more boring']
513d5337fdc9f03587002f01,51409850fdc9f04926000c7b,16,0,0,16,['more boring']
50f42c7efdc9f065f0001d60,51408f51fdc9f04926000088,3,13,0,16,['more beautiful']
513d6a82fdc9f03587004aa8,513e1d58fdc9f03587009995,0,16,0,16,['more beautiful']
513d6b8ffdc9f03587004d51,51414f0bfdc9f049260079c6,14,1,1,16,['safer']
513d690afdc9f035870045b0,513d6d15fdc9f035870050c5,4,0,12,16,['livelier']
50f5eb70fdc9f065f0008353,513d2caefdc9f03587002450,0,16,0,16,['more depressing']
50f5eaedfdc9f065f0007e46,513e5d1efdc9f0358700ace4,2,13,1,16,['wealthier']
5140cfa7fdc9f0492600316e,51413b3afdc9f049260058e8,16,0,0,16,['more boring']
513e1a7efdc9f03587009212,513e5fbbfdc9f0358700b2af,3,13,0,16,['more depressing']
513cee1dfdc9f035870023ec,513d9e41fdc9f03587008359,14,2,0,16,['safer']
50f448b5fdc9f065f0004234,5140cbbcfdc9f04926002c37,0,16,0,16,['livelier']
513cdd7efdc9f035870020bd,513d681bfdc9f03587004261,4,11,1,16,['safer']
513cc1e6fdc9f035870014ff,5140b8dcfdc9f04926001d2a,13,1,2,16,['more boring']
513cbe26fdc9f03587001156,5140da01fdc9f04926003d14,10,6,0,16,['wealthier']
50f55e56fdc9f065f0004c19,50f55eaefdc9f065f0004de4,15,1,0,16,['safer']
513cd556fdc9f03587001f01,51413442fdc9f049260045b6,11,2,3,16,['more beautiful']
50f46442fdc9f065f000446b,513ce751fdc9f0358700229d,16,0,0,16,['safer']
513e216afdc9f0358700a435,513f2a8bfdc9f0358700d55c,0,15,0,15,['more depressing']
51422dc3fdc9f04926008c72,5185d433fdc9f03fd500139a,4,11,0,15,['safer']
50f42c0cfdc9f065f0001798,50f5ec32fdc9f065f00087ab,15,0,0,15,['wealthier']
513cbbd8fdc9f03587000f32,514218befdc9f04926008184,2,13,0,15,['wealthier']
513e1f0efdc9f03587009e1b,514091c5fdc9f04926000598,8,5,2,15,['safer']
513e1a80fdc9f03587009218,514144b0fdc9f0492600651f,15,0,0,15,['safer']
5141498dfdc9f04926006dfe,5185c375fdc9f03fd5000a8f,15,0,0,15,['safer']
513e2266fdc9f0358700a554,51413520fdc9f049260048da,7,8,0,15,['livelier']
513d9deefdc9f0358700823b,513e5d16fdc9f0358700accf,15,0,0,15,['safer']
513f30d1fdc9f0358700df26,5140cb8ffdc9f04926002bc0,8,3,4,15,['more depressing']
50f5ee96fdc9f065f0008edd,513f2c9bfdc9f0358700d8ce,0,15,0,15,['safer']
513d6caefdc9f0358700501d,51409050fdc9f04926000285,15,0,0,15,['safer']
50f43ba7fdc9f065f00032b6,5185cb34fdc9f03fd5000af8,0,15,0,15,['more beautiful']
50f5644ffdc9f065f0006280,51421958fdc9f04926008222,11,4,0,15,['more beautiful']
50f5eb6dfdc9f065f000830e,5140db8ffdc9f04926003f01,13,1,1,15,['safer']
50f56364fdc9f065f0005d4c,51414b69fdc9f0492600709e,1,13,1,15,['safer']
50f55e1dfdc9f065f0004aee,5140b6adfdc9f049260017b7,14,0,1,15,['more boring']
50f46483fdc9f065f0004698,50f60871beb2fed6f80004c7,14,1,0,15,['livelier']
513ce8b1fdc9f035870022e6,514099c7fdc9f04926000e6a,1,13,1,15,['wealthier']
513cd80cfdc9f03587001f98,513e5feefdc9f0358700b2f9,5,9,1,15,['safer']
513cc7c6fdc9f03587001a98,513d3631fdc9f03587002b70,12,2,1,15,['wealthier']
50f5e760fdc9f065f00070d1,51414722fdc9f049260069ac,14,0,0,14,['livelier']
50f42efefdc9f065f0002537,514139c6fdc9f0492600554c,4,10,0,14,['livelier']
5141360ffdc9f04926004bd3,51422a0afdc9f049260088d1,2,10,2,14,['livelier']
50f5eaa4fdc9f065f0007b75,513f116efdc9f0358700c82d,0,14,0,14,['safer']
50f43464fdc9f065f00027eb,513d9b45fdc9f03587007972,14,0,0,14,['safer']
50f445acfdc9f065f0003583,51409873fdc9f04926000cad,12,1,1,14,['livelier']
50f43b77fdc9f065f0003162,513d9d37fdc9f03587007fc8,14,0,0,14,['livelier']
513d9a93fdc9f0358700771a,513f2bc3fdc9f0358700d761,12,1,1,14,['safer']
50f5642ffdc9f065f0006153,51413972fdc9f04926005487,6,7,1,14,['more depressing']
50f448b1fdc9f065f00041e1,513d6930fdc9f03587004641,14,0,0,14,['livelier']
50f463cafdc9f065f00043cc,51421c0bfdc9f049260084fe,1,12,1,14,['safer']
513d5731fdc9f0358700310c,513f13fafdc9f0358700cba4,14,0,0,14,['livelier']
513f2c81fdc9f0358700d8a6,514151aafdc9f04926007fdb,0,14,0,14,['more boring']
50f44868fdc9f065f0004035,513f12a6fdc9f0358700c9dc,10,2,2,14,['wealthier']
50f56412fdc9f065f00060b3,513d6a45fdc9f035870049fa,0,14,0,14,['more depressing']
5140ca1ffdc9f0492600273e,5140cd9ffdc9f04926002f86,14,0,0,14,['livelier']
513d36cefdc9f03587002bbf,513e1cf5fdc9f03587009893,1,13,0,14,['livelier']
50f60870beb2fed6f80004a9,514139dafdc9f04926005574,0,14,0,14,['more boring']
51408971fdc9f0358700e4fe,5140ca28fdc9f0492600275d,0,13,1,14,['more depressing']
50f46497fdc9f065f00047df,513d68effdc9f03587004551,14,0,0,14,['livelier']
50f56269fdc9f065f0005a50,513d9e5cfdc9f035870083a5,8,0,6,14,['more boring']
50f5611cfdc9f065f00053fd,50f5ecf0fdc9f065f0008b33,13,0,1,14,['livelier']
50f5e760fdc9f065f00070c7,513d5c39fdc9f0358700369a,2,12,0,14,['livelier']
50f5e647fdc9f065f0006bee,51408ae1fdc9f0358700e7ff,1,12,1,14,['safer']
50f5e8cdfdc9f065f0007518,514146d0fdc9f049260068dc,13,1,0,14,['safer']
51413b18fdc9f04926005895,51415024fdc9f04926007c89,5,0,9,14,['more boring']
513e20adfdc9f0358700a27c,513e2180fdc9f0358700a44d,0,12,1,13,['safer']
513e2033fdc9f0358700a134,51408fc7fdc9f04926000170,0,1,12,13,['more boring']
513e20f0fdc9f0358700a332,513e227cfdc9f0358700a56e,1,12,0,13,['livelier']
51413d78fdc9f04926005d4a,5185cbf8fdc9f03fd5000bb9,12,1,0,13,['livelier']
513cb828fdc9f03587000bc3,51413ff1fdc9f0492600603d,0,13,0,13,['livelier']
513da0c8fdc9f03587008a2d,513f1354fdc9f0358700cac3,2,9,2,13,['safer']
50f5612efdc9f065f000550b,513f2f0ffdc9f0358700dd00,12,1,0,13,['safer']
51409a85fdc9f04926000f65,514139acfdc9f0492600550c,12,0,1,13,['livelier']
513ce063fdc9f03587002157,514089a8fdc9f0358700e570,4,9,0,13,['safer']
50f46498fdc9f065f000482b,51413a73fdc9f049260056f4,11,2,0,13,['more beautiful']
513d7940fdc9f0358700643e,5140d77dfdc9f04926003808,10,3,0,13,['safer']
50f5e526fdc9f065f00066b4,513d7d29fdc9f0358700711b,10,3,0,13,"['livelier', 'safer', 'more beautiful']"
513d7f41fdc9f03587007599,513e1f2ffdc9f03587009e68,1,12,0,13,['livelier']
513e5cc8fdc9f0358700abf8,513e644ffdc9f0358700b7f3,0,3,10,13,['more beautiful']
50f42bb5fdc9f065f0001657,513e6e88fdc9f0358700c450,0,13,0,13,['livelier']
513d6876fdc9f0358700439f,513d7c3bfdc9f03587006e17,5,8,0,13,['livelier']
513d4a16fdc9f03587002de0,51414d89fdc9f049260075fc,4,7,2,13,['more beautiful']
50f5ec40fdc9f065f00088b0,514147abfdc9f04926006ae4,2,11,0,13,['more boring']
513e1b70fdc9f03587009495,513e22a4fdc9f0358700a5a1,11,1,1,13,['safer']
50f5eaeffdc9f065f0007e62,513cbfdafdc9f03587001306,13,0,0,13,['more boring']
513d6bcefdc9f03587004dea,513e60f2fdc9f0358700b498,0,13,0,13,['livelier']
50f5625ffdc9f065f00059ad,514137d6fdc9f0492600508d,0,13,0,13,['livelier']
513d3072fdc9f03587002725,5140ca75fdc9f04926002844,12,0,1,13,['livelier']
50f42c80fdc9f065f0001de0,513e6ffcfdc9f0358700c64d,12,1,0,13,['safer']
513cc714fdc9f035870019f0,513e6e82fdc9f0358700c447,0,13,0,13,['livelier']
51409b57fdc9f0492600106d,51413520fdc9f049260048db,0,12,0,12,['more depressing']
513e1b25fdc9f035870093be,5140c8ebfdc9f049260023a6,0,12,0,12,['wealthier']
5140b952fdc9f04926001e14,514217c9fdc9f04926008080,0,12,0,12,['livelier']
513cc274fdc9f0358700158c,513e2086fdc9f0358700a21c,0,12,0,12,['livelier']
513d9c94fdc9f03587007db4,514133d7fdc9f04926004449,0,9,3,12,['livelier']
5141335cfdc9f04926004296,5141480afdc9f04926006bcc,12,0,0,12,['safer']
50f5eb6cfdc9f065f00082f9,5140d292fdc9f049260032fc,12,0,0,12,['more depressing']
50f5eb66fdc9f065f000827f,513e6fa9fdc9f0358700c5dc,5,6,1,12,['livelier']
513ce81bfdc9f035870022c5,513e2123fdc9f0358700a3c0,3,0,9,12,['more beautiful']
513d7c82fdc9f03587006f09,513f2e58fdc9f0358700dbc0,11,0,1,12,['wealthier']
513cc6b4fdc9f03587001995,513ce6a7fdc9f0358700227c,12,0,0,12,['safer']
50f55e08fdc9f065f0004a00,5140d9b1fdc9f04926003c68,9,3,0,12,['more beautiful']
50f46454fdc9f065f0004588,513d7dfbfdc9f035870072f1,10,1,1,12,['safer']
50f56360fdc9f065f0005cd3,513f140dfdc9f0358700cbc1,5,6,1,12,['safer']
50f61676beb2fed9100008c7,5141330cfdc9f04926004183,12,0,0,12,['livelier']
513d788efdc9f035870061dc,51414cf0fdc9f04926007467,0,12,0,12,['livelier']
513d6872fdc9f0358700438e,5185d51afdc9f03fd5001479,8,4,0,12,['livelier']
5140b846fdc9f04926001bf7,5140c9aafdc9f049260025d9,0,11,1,12,['safer']
513d7c5efdc9f03587006e88,51413a6bfdc9f049260056dc,0,12,0,12,['livelier']
513d7ac4fdc9f03587006941,514139c2fdc9f04926005544,1,11,0,12,['more depressing']
50f4348dfdc9f065f0002957,513e5d50fdc9f0358700ad6a,1,11,0,12,['safer']
513e61fafdc9f0358700b61d,51415059fdc9f04926007d0f,0,12,0,12,['safer']
50f5e6fcfdc9f065f0006e7d,513d6b6cfdc9f03587004cfa,12,0,0,12,['more depressing']
513e22fbfdc9f0358700a60c,51408f4ffdc9f04926000081,12,0,0,12,['safer']
50f433dbfdc9f065f00027e4,51409884fdc9f04926000cc3,1,9,2,12,['more boring']
50f60b91beb2fed910000088,513e1d50fdc9f03587009982,12,0,0,12,['safer']
50f463c8fdc9f065f000437c,514136d1fdc9f04926004ce3,10,1,1,12,['safer']
50f44866fdc9f065f0003fae,50f5e705fdc9f065f0006f7b,1,10,1,12,['safer']
50f5e63afdc9f065f0006b4e,5140cbf7fdc9f04926002cb4,12,0,0,12,['livelier']
5140d8c4fdc9f04926003aa0,51413b20fdc9f049260058ab,1,10,1,12,['livelier']
50f4349afdc9f065f0002a38,50f44803fdc9f065f0003c27,6,1,5,12,['livelier']
51409dbffdc9f04926001355,51409e7bfdc9f0492600143c,11,0,0,11,['livelier']
50f42c0cfdc9f065f00017a1,50f5eb18fdc9f065f0007f67,5,5,1,11,['more depressing']
50f5eafafdc9f065f0007f3c,513d9ddffdc9f03587008209,8,2,1,11,['more beautiful']
50f43ba7fdc9f065f00032a5,5140c950fdc9f049260024cd,10,0,1,11,['wealthier']
513d9f51fdc9f035870086da,5185cd79fdc9f03fd5000d32,9,2,0,11,['more beautiful']
513d9c94fdc9f03587007db1,5140ca7afdc9f04926002853,3,8,0,11,['livelier']
513d9f62fdc9f03587008719,513f2d35fdc9f0358700d9c9,10,1,0,11,['more depressing']
50f5e648fdc9f065f0006c4c,51408fd9fdc9f04926000192,0,11,0,11,['safer']
50f5eaaafdc9f065f0007bdf,5140930ffdc9f0492600073a,10,0,1,11,['safer']
50f43528fdc9f065f0002bd8,5141409bfdc9f049260060e0,2,4,5,11,['more boring']
513e2363fdc9f0358700a67f,513e6107fdc9f0358700b4b5,2,6,3,11,['wealthier']
513e1ff7fdc9f0358700a099,513e211dfdc9f0358700a3ac,0,8,3,11,['wealthier']
50f463cbfdc9f065f00043f7,50f46498fdc9f065f0004840,2,9,0,11,['wealthier']
50f4485dfdc9f065f0003f0e,513d9c6ffdc9f03587007d36,5,6,0,11,['livelier']
50f5ed99fdc9f065f0008e26,513f3251fdc9f0358700e066,1,9,1,11,['more depressing']
50f5eeadfdc9f065f0008fc3,513d4965fdc9f03587002dc7,2,7,2,11,['safer']
513f2db3fdc9f0358700daae,51422971fdc9f04926008857,9,1,1,11,['more beautiful']
513d5955fdc9f03587003381,513d61f2fdc9f03587003ee8,8,2,1,11,['livelier']
513d61c0fdc9f03587003ea9,5141508ffdc9f04926007da4,0,11,0,11,['safer']
50f448b1fdc9f065f00041e1,50f5eaa3fdc9f065f0007b5c,10,0,1,11,['more depressing']
50f5eeaffdc9f065f0008fed,5142275dfdc9f0492600865c,11,0,0,11,['livelier']
5140d392fdc9f049260033f1,514142f3fdc9f0492600634d,0,11,0,11,['more depressing']
50f42c81fdc9f065f0001e17,513cd18cfdc9f03587001e36,0,11,0,11,['safer']
513d69adfdc9f035870047f9,51413564fdc9f049260049c2,6,5,0,11,['more boring']
513925fc818ede1296001062,513d548bfdc9f03587002f2b,11,0,0,11,['livelier']
50f6145abeb2fed910000717,513f2e9cfdc9f0358700dc49,11,0,0,11,['safer']
513e6d02fdc9f0358700c230,513f13f5fdc9f0358700cb9d,0,11,0,11,['safer']
513d6bcdfdc9f03587004de7,513d7c22fdc9f03587006dc7,10,1,0,11,['safer']
513d3058fdc9f03587002712,513da043fdc9f03587008929,0,11,0,11,['safer']
5140b8a3fdc9f04926001cbe,51414637fdc9f04926006770,11,0,0,11,['more depressing']
50f5eb6ffdc9f065f000833a,513e6081fdc9f0358700b3e0,1,9,1,11,['safer']
50f5e51afdc9f065f0006627,51409280fdc9f049260006b7,1,9,1,11,['safer']
50f43b6dfdc9f065f0003088,50f447d3fdc9f065f0003aa5,4,7,0,11,['safer']
50f42ef2fdc9f065f0002458,513d7842fdc9f035870060e0,11,0,0,11,['safer']
50f42ef2fdc9f065f0002443,513d9b6dfdc9f035870079e6,1,9,1,11,['safer']
513d9c3ffdc9f03587007c90,513e6dcffdc9f0358700c350,11,0,0,11,['safer']
513d9dedfdc9f03587008238,513e6b17fdc9f0358700bfaa,11,0,0,11,['safer']
513cc296fdc9f035870015aa,51409129fdc9f04926000457,11,0,0,11,['more depressing']
50f42b53fdc9f065f0001393,513d78dbfdc9f035870062ed,11,0,0,11,['more depressing']
50f5e87cfdc9f065f000730f,513e6a9cfdc9f0358700bf04,0,11,0,11,['livelier']
51414f9efdc9f04926007b33,51422e29fdc9f04926008cc4,0,11,0,11,['livelier']
513e5ffcfdc9f0358700b311,514147bffdc9f04926006b16,0,11,0,11,['safer']
51414e44fdc9f049260077d8,51415068fdc9f04926007d39,8,2,1,11,['livelier']
50f561c5fdc9f065f00056e5,513d5823fdc9f035870032b7,0,1,10,11,['more beautiful']
514148eafdc9f04926006d56,51421832fdc9f049260080f3,0,10,1,11,['safer']
513cbb38fdc9f03587000ea2,514143dcfdc9f04926006448,11,0,0,11,['more depressing']
50f43b6ffdc9f065f00030a6,513d5fbffdc9f03587003c29,4,6,1,11,['safer']
50f56362fdc9f065f0005d0e,513e1ff5fdc9f0358700a092,11,0,0,11,['wealthier']
513cef4dfdc9f03587002428,5140cf62fdc9f04926003133,11,0,0,11,['safer']
50f5eab0fdc9f065f0007c3a,51409123fdc9f0492600044b,0,11,0,11,['livelier']
50f5eaaafdc9f065f0007bd1,5140ca6bfdc9f04926002826,3,4,4,11,['livelier']
513d5ca8fdc9f03587003764,514138d3fdc9f049260052f4,11,0,0,11,['more depressing']
513f135bfdc9f0358700cacb,513f2ae8fdc9f0358700d5f4,8,3,0,11,['livelier']
50f44563fdc9f065f000349e,50f60121beb2fed6f80001b9,0,11,0,11,['livelier']
5140ce8cfdc9f04926003063,5141460cfdc9f0492600670a,11,0,0,11,['wealthier']
50f5eb41fdc9f065f0008116,51408c46fdc9f0358700eac7,8,1,2,11,['more beautiful']
513cd4e4fdc9f03587001ee4,513e6b64fdc9f0358700c00f,2,2,7,11,['more boring']
50f5eba8fdc9f065f0008412,513d6162fdc9f03587003e2c,1,10,0,11,['safer']
513cc762fdc9f03587001a36,513d7e08fdc9f0358700730b,6,4,1,11,['safer']
5140d9b8fdc9f04926003c79,51421abcfdc9f04926008395,0,11,0,11,['safer']
50f3981ffdc9f065f0000df6,50f5eb65fdc9f065f000827d,0,9,1,10,['safer']
51409e22fdc9f049260013d0,5140d973fdc9f04926003bf4,0,9,1,10,['safer']
50f42b4ffdc9f065f00012b8,513d9c46fdc9f03587007ca8,8,1,1,10,['wealthier']
514148eafdc9f04926006d56,51422df0fdc9f04926008c94,7,2,1,10,['livelier']
513e6585fdc9f0358700b998,5185d234fdc9f03fd50011a0,0,10,0,10,['safer']
50f5eb19fdc9f065f0007f78,513d5dd5fdc9f03587003973,1,9,0,10,['livelier']
51414b96fdc9f0492600710b,51422c6dfdc9f04926008b27,1,9,0,10,['livelier']
50f5e76afdc9f065f0007164,51414674fdc9f04926006802,1,9,0,10,['safer']
513e1f59fdc9f03587009ede,51408fddfdc9f0492600019d,9,1,0,10,['more depressing']
50f42b52fdc9f065f000136c,513d6b93fdc9f03587004d5e,0,10,0,10,['more beautiful']
50f5609bfdc9f065f00052a8,513e5f35fdc9f0358700b1e7,10,0,0,10,['safer']
50f55e97fdc9f065f0004d41,513e6e29fdc9f0358700c3d2,0,10,0,10,['livelier']
513cc1e0fdc9f035870014fc,513d6a13fdc9f0358700494c,0,10,0,10,['more boring']
513cbda2fdc9f035870010da,513d6a33fdc9f035870049b8,1,8,1,10,['more depressing']
50f5609afdc9f065f000526a,513ccd29fdc9f03587001d67,0,10,0,10,['more boring']
50f5eb62fdc9f065f0008236,50f60879beb2fed6f800056b,0,10,0,10,['livelier']
50f43aadfdc9f065f0002efb,50f43bb0fdc9f065f0003351,5,3,2,10,['livelier']
513d9cccfdc9f03587007e71,514146d0fdc9f049260068dd,1,8,1,10,['more beautiful']
513d9c9efdc9f03587007dd9,514150fefdc9f04926007ea9,0,10,0,10,['livelier']
513d9afefdc9f03587007883,5185ce7bfdc9f03fd5000e34,10,0,0,10,['safer']
513e1b1afdc9f0358700939f,513f2dd5fdc9f0358700dae7,1,9,0,10,['safer']
50f43aa4fdc9f065f0002e59,513e5cd4fdc9f0358700ac13,8,2,0,10,['safer']
