merged_index,row_index,left,right,study_question,choice,place_name_left,place_name_right
40,40,513e1c4cfdc9f035870096d6,50f5e8a5fdc9f065f000742d,wealthier,right,Moscow,San Francisco
41,41,513cca02fdc9f03587001ca9,514135fdfdc9f04926004bb5,safer,right,Cape Town,Helsinki
42,42,5140cb89fdc9f04926002baf,513cda9efdc9f0358700201c,livelier,left,Bratislava,Cape Town
43,43,51413c72fdc9f04926005b26,513e22e5fdc9f0358700a5f2,more boring,right,Johannesburg,Moscow
44,44,513d7f4afdc9f035870075a6,5185ce50fdc9f03fd5000e08,safer,right,Santiago,Montreal
45,45,513d9fa9fdc9f035870087ba,513cc1befdc9f035870014dc,safer,right,Atlanta,Houston
46,46,50f6166fbeb2fed91000084e,513d7f35fdc9f03587007583,safer,left,Philadelphia,Santiago
47,47,513cd58cfdc9f03587001f0e,51414c79fdc9f04926007340,more beautiful,left,Cape Town,Mexico City
48,48,50f5ed68fdc9f065f0008d1b,50f43494fdc9f065f00029d6,wealthier,left,Prague,Toronto
49,49,5140d80cfdc9f0492600392e,513e1aeafdc9f03587009322,more depressing,right,Dublin,Moscow
50,50,513e6facfdc9f0358700c5e0,50f42b82fdc9f065f0001468,safer,right,Tokyo,Warsaw
51,51,513d57e4fdc9f03587003240,50f439fbfdc9f065f0002e52,wealthier,right,Amsterdam,Tel Aviv
52,52,513f2c54fdc9f0358700d85a,513e5d1dfdc9f0358700ace0,safer,right,Berlin,Kiev
53,53,5140cc11fdc9f04926002cec,513d9c9cfdc9f03587007dd0,safer,right,Bangkok,New York
54,54,50f5eaf0fdc9f065f0007e74,514098ebfdc9f04926000d45,more boring,right,Rio De Janeiro,Rome
55,55,51408ffafdc9f049260001d5,513d6c1bfdc9f03587004eaf,safer,left,Lisbon,Denver
56,56,513d9ae9fdc9f03587007847,51413a8afdc9f0492600572d,livelier,left,Atlanta,Johannesburg
57,57,51414de0fdc9f049260076e1,513e1f3cfdc9f03587009e91,livelier,right,Milan,Moscow
58,58,50f5ec9cfdc9f065f0008a7d,5185cbc1fdc9f03fd5000b83,wealthier,left,Prague,Montreal
59,59,5141369efdc9f04926004c9a,513e5e55fdc9f0358700b035,safer,right,Guadalajara,Paris
60,60,50e5faefd7c3df413b000787,513d31f8fdc9f03587002855,wealthier,right,Kyoto,Houston
61,61,513d5b22fdc9f035870034ac,51409a17fdc9f04926000ed2,safer,left,Barcelona,Rome
62,62,513cb9f8fdc9f03587000d77,513e6fddfdc9f0358700c61e,safer,left,Houston,Tokyo
63,63,50f56198fdc9f065f000559d,50f561c4fdc9f065f00056bd,more depressing,left,Singapore,Singapore
64,64,50f43490fdc9f065f0002999,50f46497fdc9f065f00047ef,safer,right,Toronto,Sydney
65,65,5140c889fdc9f0492600227a,513cc348fdc9f03587001659,more beautiful,left,Bratislava,Houston
66,66,50f447cffdc9f065f0003a39,513d5795fdc9f035870031b0,livelier,right,Sydney,Amsterdam
67,67,513d5c0dfdc9f03587003652,513e2155fdc9f0358700a41e,wealthier,left,Barcelona,Moscow
68,68,513e2298fdc9f0358700a58d,513cbd5afdc9f03587001095,livelier,left,Moscow,Chicago
69,69,514146dffdc9f04926006902,50f3981ffdc9f065f0000dfa,safer,left,Minneapolis,Tel Aviv
70,70,513d3442fdc9f03587002a00,513d317cfdc9f035870027f6,safer,right,Chicago,Houston
71,71,513d7beffdc9f03587006d1b,5140ccbffdc9f04926002e88,safer,left,Atlanta,Bangkok
72,72,513d5eb2fdc9f03587003ad0,513f28ebfdc9f0358700d294,safer,right,Belo Horizonte,Berlin
73,73,5185cf8afdc9f03fd5000f44,50f44567fdc9f065f00034df,wealthier,left,Montreal,Taipei
74,74,513f2b5afdc9f0358700d6b1,50f5eb44fdc9f065f0008157,safer,left,Berlin,Rio De Janeiro
75,75,513cc07efdc9f035870013a4,50f5eaecfdc9f065f0007e2c,safer,left,Cape Town,Rio De Janeiro
76,76,513f123efdc9f0358700c93f,513e1bcbfdc9f03587009579,more beautiful,left,Tokyo,Moscow
77,77,513d9fadfdc9f035870087c3,513e6b8ffdc9f0358700c04c,more boring,right,Atlanta,Tokyo
78,78,513d2caefdc9f03587002450,50f5eb70fdc9f065f0008353,more depressing,right,Houston,Rio De Janeiro
79,79,5140cfa7fdc9f0492600316e,51413b3afdc9f049260058e8,more boring,left,Bucharest,Los Angeles
80,80,5140ce16fdc9f04926002ff9,513da078fdc9f0358700899f,livelier,right,Bucharest,Atlanta
81,81,5185d409fdc9f03fd5001369,50f563b6fdc9f065f0005df8,more boring,right,Montreal,Seattle
82,82,51408f51fdc9f04926000088,50f42c7efdc9f065f0001d60,more beautiful,right,Madrid,Warsaw
83,83,51413aeefdc9f04926005829,5140d00bfdc9f049260031d5,more boring,left,Los Angeles,Bucharest
84,84,51409d64fdc9f049260012e8,51413678fdc9f04926004c61,livelier,right,Rome,Guadalajara
85,85,51409850fdc9f04926000c7b,513d5337fdc9f03587002f01,more boring,left,Rome,Barcelona
86,86,51414893fdc9f04926006d05,51422a17fdc9f049260088e0,safer,left,Melbourne,Philadelphia
87,87,513cee1dfdc9f035870023ec,513d9e41fdc9f03587008359,safer,left,Cape Town,Santiago
88,88,513e1d58fdc9f03587009995,513d6a82fdc9f03587004aa8,more beautiful,right,London,Denver
89,89,513cbe26fdc9f03587001156,5140da01fdc9f04926003d14,wealthier,left,Chicago,Dublin
90,90,50f46442fdc9f065f000446b,513ce751fdc9f0358700229d,safer,left,Sydney,Cape Town
91,91,513cdfa1fdc9f03587002133,50f5ec9bfdc9f065f0008a64,livelier,left,Cape Town,Prague
92,92,50f55eaefdc9f065f0004de4,50f55e56fdc9f065f0004c19,safer,left,Stockholm,Stockholm
93,93,513da0a7fdc9f035870089fd,50f6167abeb2fed910000905,safer,left,Santiago,Philadelphia
94,94,5140cca7fdc9f04926002e5a,513e6bfdfdc9f0358700c0d8,safer,right,Bangkok,Tokyo
95,95,50f42c4cfdc9f065f0001a65,513cca18fdc9f03587001cb8,safer,left,Warsaw,Cape Town
96,96,50f5ecf1fdc9f065f0008b44,50f5eab0fdc9f065f0007c43,wealthier,left,Prague,Rio De Janeiro
97,97,513e1a7efdc9f03587009212,513e5fbbfdc9f0358700b2af,more depressing,right,London,Paris
98,98,51422ccbfdc9f04926008b81,50f607dcbeb2fed6f800033d,safer,right,Philadelphia,Portland
99,99,50f448b5fdc9f065f0004234,5140cbbcfdc9f04926002c37,livelier,right,Sydney,Bangkok
